customer_age,tenure_months,tenure_days,contract_type,payment_method,monthly_charges,num_support_calls,paperless_billing,region,churned
50,14,420,One year,Mailed check,72.17,1,1,East,0
58,64,1920,Two year,Credit card,46.96,1,0,,0
37,59,1770,One year,Credit card,62.78,1,1,South,0
62,9,270,Month-to-month,Mailed check,89.44,2,1,West,1
70,71,2130,Month-to-month,Bank transfer,37.18,2,0,North,1
24,38,1140,Two year,Mailed check,86.24,4,1,East,0
25,45,1350,Month-to-month,Mailed check,78.72,0,1,South,1
29,4,120,Two year,Mailed check,76.94,2,0,East,0
38,63,1890,One year,Electronic check,18.0,0,0,East,0
37,67,2010,Month-to-month,Electronic check,67.42,1,0,North,0
66,55,1650,Month-to-month,Bank transfer,86.21,3,0,North,1
35,13,390,Month-to-month,Credit card,50.93,1,0,East,1
73,38,1140,Month-to-month,Electronic check,72.26,2,1,West,1
64,30,900,Month-to-month,Bank transfer,18.0,3,1,South,0
76,28,840,Month-to-month,Credit card,86.78,2,0,East,1
79,39,1170,One year,Mailed check,53.44,1,1,North,0
22,51,1530,Two year,Electronic check,,2,0,South,1
60,52,1560,One year,Bank transfer,23.93,1,0,,0
71,18,540,One year,Electronic check,87.31,1,0,North,1
20,67,2010,Two year,Bank transfer,64.08,1,1,West,0
28,32,960,Month-to-month,Mailed check,90.19,1,1,West,1
36,53,1590,Month-to-month,Bank transfer,46.86,2,0,West,0
30,62,1860,One year,Electronic check,54.54,3,0,East,0
67,25,750,Month-to-month,Mailed check,126.06,0,0,North,1
26,61,1830,Month-to-month,Mailed check,49.25,1,0,West,1
75,6,180,Month-to-month,Bank transfer,52.35,0,1,North,1
40,22,660,Month-to-month,Electronic check,63.09,3,1,South,1
54,51,1530,Two year,Credit card,44.44,2,1,South,0
43,54,1620,One year,Electronic check,99.76,5,1,East,0
39,70,2100,Month-to-month,Electronic check,113.13,1,1,,0
71,30,900,Month-to-month,Electronic check,52.4,1,0,West,0
40,2,60,Month-to-month,Electronic check,26.85,0,0,North,1
78,32,960,Month-to-month,Mailed check,99.3,2,0,West,1
57,56,1680,Month-to-month,Credit card,97.71,6,0,East,1
40,9,270,One year,Bank transfer,90.54,0,1,South,0
71,13,390,Month-to-month,Electronic check,98.91,1,0,South,1
35,30,900,Month-to-month,Electronic check,48.31,1,0,North,1
39,33,990,Month-to-month,Electronic check,65.79,1,1,South,1
73,32,960,Two year,Bank transfer,35.4,0,0,East,0
29,38,1140,Month-to-month,Mailed check,34.55,1,1,North,0
72,44,1320,Month-to-month,Credit card,94.53,2,1,West,1
18,44,1320,Two year,Bank transfer,53.2,1,1,East,0
18,30,900,Month-to-month,Bank transfer,,3,1,South,1
26,71,2130,Two year,Bank transfer,71.85,2,0,South,0
56,35,1050,One year,Bank transfer,53.99,1,0,West,1
70,49,1470,One year,Electronic check,89.95,0,1,South,0
70,48,1440,Month-to-month,Electronic check,115.03,3,1,West,1
56,28,840,Month-to-month,Mailed check,82.15,1,0,South,1
57,46,1380,Month-to-month,Mailed check,39.57,3,0,East,0
79,51,1530,Two year,Electronic check,79.28,4,1,West,0
76,35,1050,Month-to-month,Mailed check,104.39,1,0,West,1
22,34,1020,One year,Bank transfer,57.67,1,1,North,0
52,43,1290,Month-to-month,Electronic check,50.66,0,0,South,1
40,30,900,Month-to-month,Electronic check,95.41,3,1,East,1
26,54,1620,Month-to-month,Electronic check,73.5,1,0,South,1
67,26,780,Month-to-month,Electronic check,,2,1,South,1
51,7,210,Two year,Credit card,60.51,4,1,,1
58,36,1080,Month-to-month,Electronic check,51.11,2,0,West,0
50,65,1950,Two year,Electronic check,77.41,2,1,South,0
22,20,600,One year,Electronic check,72.74,2,0,South,0
71,23,690,One year,Mailed check,98.76,2,1,West,0
42,18,540,One year,Electronic check,87.74,2,1,East,0
31,66,1980,One year,Mailed check,30.91,1,0,South,0
57,11,330,Month-to-month,Electronic check,80.17,1,1,West,1
36,32,960,Month-to-month,Electronic check,92.42,0,1,East,1
60,32,960,Month-to-month,Credit card,81.4,1,0,East,0
49,41,1230,Month-to-month,Electronic check,95.75,2,0,West,0
46,21,630,Month-to-month,Bank transfer,56.26,2,0,North,0
24,55,1650,Two year,Mailed check,46.23,2,0,West,0
29,60,1800,Month-to-month,Mailed check,93.25,3,1,North,0
71,31,930,One year,Credit card,43.36,4,1,North,1
77,61,1830,Month-to-month,Electronic check,18.0,4,1,West,1
52,9,270,Two year,Credit card,95.63,4,0,South,0
46,25,750,One year,Credit card,51.9,0,1,North,0
29,63,1890,Month-to-month,Bank transfer,62.35,2,1,East,1
62,44,1320,Two year,Electronic check,35.05,2,0,South,1
58,13,390,Two year,Bank transfer,36.86,2,1,South,1
51,65,1950,Two year,Bank transfer,41.09,0,1,West,0
34,63,1890,One year,Credit card,60.98,2,1,East,0
23,26,780,Month-to-month,Electronic check,79.25,0,1,North,0
78,14,420,Month-to-month,Credit card,18.0,2,1,East,0
32,40,1200,Two year,Credit card,88.8,2,1,North,1
58,42,1260,One year,Electronic check,40.45,0,1,South,0
21,32,960,Month-to-month,Electronic check,43.34,6,1,North,1
60,51,1530,Two year,Electronic check,86.95,1,1,West,0
29,47,1410,One year,Credit card,68.13,1,1,North,0
61,56,1680,One year,Credit card,31.59,1,1,East,0
30,69,2070,Month-to-month,Credit card,116.11,1,1,South,0
48,54,1620,Month-to-month,Bank transfer,48.48,4,0,East,1
43,10,300,Month-to-month,Bank transfer,76.18,1,0,,1
49,1,30,Month-to-month,Bank transfer,75.0,2,0,North,1
37,69,2070,Two year,Bank transfer,105.28,0,0,South,0
38,58,1740,Month-to-month,Credit card,58.61,6,0,East,1
