customer_age,tenure_months,contract_type,payment_method,monthly_charges,num_support_calls,paperless_billing,region,churned
72,36,One year,Electronic check,46.01,0,1,North,0
67,40,Month-to-month,Credit card,88.73,1,0,South,1
31,18,Two year,Bank transfer,,1,1,South,0
69,36,One year,Electronic check,,2,1,South,1
22,21,Month-to-month,Electronic check,107.91,2,0,North,1
35,49,Two year,Electronic check,63.48,4,1,North,0
61,57,One year,Credit card,,2,0,North,0
36,47,One year,Mailed check,75.92,2,0,South,0
63,1,Month-to-month,Credit card,67.38,2,1,,1
72,71,Month-to-month,Bank transfer,104.1,3,0,West,0
22,2,Month-to-month,Bank transfer,64.08,0,0,North,0
19,71,Two year,Electronic check,25.48,2,0,East,0
76,3,One year,Credit card,,0,1,East,0
50,37,Two year,Electronic check,83.78,2,0,South,0
49,8,Month-to-month,Bank transfer,79.89,2,0,West,1
46,7,Month-to-month,Bank transfer,30.82,2,1,North,1
44,49,One year,Bank transfer,51.89,2,0,North,1
60,52,Month-to-month,Credit card,55.46,1,1,South,0
53,9,Two year,Electronic check,60.86,1,0,North,0
28,70,One year,Mailed check,35.6,1,1,South,0
56,23,One year,Mailed check,54.29,1,1,South,0
59,23,Month-to-month,Mailed check,51.78,1,0,West,0
25,22,Two year,Electronic check,89.29,1,0,South,0
41,33,Two year,Electronic check,90.23,2,1,West,0
67,13,One year,Electronic check,66.35,2,1,West,1
56,31,Month-to-month,Electronic check,60.2,2,0,West,1
26,15,Month-to-month,Mailed check,73.5,1,1,North,1
20,4,Month-to-month,Bank transfer,49.59,1,0,West,1
54,27,Month-to-month,Bank transfer,41.33,0,1,East,1
46,48,One year,Mailed check,46.49,6,1,West,0
77,55,One year,Mailed check,54.13,0,1,South,0
50,26,Two year,Electronic check,40.91,2,1,West,0
75,23,Month-to-month,Bank transfer,74.05,1,0,East,1
31,56,Month-to-month,Electronic check,88.24,2,1,North,1
45,49,Month-to-month,Electronic check,30.32,0,1,South,0
26,60,Month-to-month,Mailed check,70.63,1,1,North,0
53,65,Month-to-month,Mailed check,64.5,0,1,West,0
29,59,Month-to-month,Electronic check,78.54,1,1,South,0
48,67,Month-to-month,Bank transfer,69.68,1,1,North,0
39,30,One year,Bank transfer,33.66,1,1,East,0
29,29,Month-to-month,Bank transfer,38.44,0,1,South,0
24,23,Two year,Bank transfer,70.74,0,0,North,0
49,17,One year,Bank transfer,95.72,1,0,West,1
76,54,Month-to-month,Electronic check,18.0,4,0,West,1
30,51,Two year,Credit card,78.64,4,0,East,0
